danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,like,song_name
0.774,0.853,1,-6.933,1,0.246,0.0275,0.0,0.0876,0.619,123.041,6tQB8rJfdvILrxIxuKIRMu,106000,4,1,Christophe (Remix Orelsan)
0.839,0.629,3,-5.663,0,0.147,0.241,0.0,0.108,0.724,94.008,4sTDuXa8uGDHwJdsXUqIBo,207772,4,1,Understood
0.668,0.459,6,-12.072,0,0.118,0.0499,1e-06,0.408,0.525,159.021,4zHabeonyLGTgnR9R5RY3X,186415,4,1,Dimanche
0.816,0.433,1,-9.19,1,0.241,0.00471,0.0,0.132,0.676,147.942,2lTWOBGyQkBRIgzCtomXSL,225000,4,1,Depuis quand
0.72,0.67,7,-8.39,1,0.167,0.0857,0.0,0.101,0.766,151.124,3FVdWR0C2QAqXxhW1al2fT,209801,4,1,OUI
0.75,0.772,10,-8.706,0,0.157,0.206,0.0,0.0748,0.561,139.98,0V5c3isfSfyl7zQDtV9fAp,224496,4,1,Forever Broke
0.705,0.97,8,-3.28,1,0.259,0.241,0.0,0.289,0.766,99.97,43kQu3PTBhCZCNhzaufAaX,194138,4,1,Two Tone Rebel
0.531,0.803,8,-3.929,0,0.339,0.325,0.0,0.368,0.414,97.51,75bVc27bDSOAhMAL38cXpV,191133,5,1,Méchant
0.784,0.902,11,-5.308,0,0.0434,0.00308,0.000233,0.13,0.271,100.007,481uvgYccF51OUrEzIbop2,186041,4,1,Megazord
0.751,0.72,6,-4.86,1,0.304,0.295,0.0,0.337,0.761,140.041,6mKLhdZIMaHpZ9kbmq9SOS,197674,4,1,Sankhara #4 (Chic)
0.816,0.667,7,-8.561,1,0.0758,0.235,0.0,0.0599,0.402,134.985,0wSGClIhJMGkdamvWSTqX0,85333,3,1,Les 7 péchés capitaux / Colère
0.878,0.6,6,-7.856,1,0.142,0.405,0.0,0.119,0.539,75.006,0gQB2HvjH14xfWVmYEUafn,183891,4,1,Siri 3
0.754,0.475,1,-10.889,1,0.154,0.523,0.0,0.113,0.235,117.006,1zYBkCM626hfZmjIS1QYiX,201384,4,1,Le bon chemin
0.895,0.479,11,-9.071,0,0.273,0.208,0.0,0.0902,0.719,146.049,3UKwm5G898I1BvYt7uU4t0,134554,4,1,Petit con
0.924,0.748,2,-3.645,1,0.188,0.174,0.0,0.207,0.381,121.063,0br27hgKNVMLyXKS3qjLOu,209667,4,1,Gaz
0.827,0.703,2,-4.623,1,0.112,0.0617,0.0,0.0484,0.586,137.043,6u1rhQAvxkWLeuqUC3iJD0,214456,4,1,J'turn up (feat. Alkpote et Njd)
0.641,0.673,6,-7.017,0,0.0857,0.429,0.0,0.105,0.785,149.974,2MCAs3ttHSuDm1RHL0rqTF,192107,4,1,Jamais
0.798,0.567,7,-6.61,1,0.416,0.122,0.0,0.101,0.659,73.679,7AJKmkPoSxic6mdUSjrbUZ,94054,4,1,Quoi de neuf?
0.847,0.845,1,-2.901,0,0.305,0.279,0.0,0.052,0.633,142.012,3VYNqg6APRVQasDJnwlJ6H,190986,4,1,Féfé
0.567,0.797,1,-3.071,0,0.2,0.392,0.0,0.116,0.654,110.882,4CF6itOplqlu7ilwLtYUl3,218732,3,1,Evil
0.752,0.905,11,-7.015,0,0.181,0.0931,0.000739,0.355,0.521,150.991,59wSo3BVsBDZWMRKLwTpdv,179107,4,1,Tour de contrôle
0.856,0.602,0,-8.173,0,0.336,0.127,0.0,0.115,0.723,142.95,07whpV2cnsEG3vk4qGxRQN,77203,4,1,Challenge incroyable
0.45,0.952,2,-5.075,0,0.09,0.000243,0.00449,0.554,0.177,140.046,2HhCeucatmy92kC1NHJYjQ,216033,4,1,Legends Never Die
0.883,0.558,1,-6.382,0,0.208,0.542,1.85e-06,0.0934,0.537,153.99,4gohbLz14XeqPbH5uxbZBz,204179,4,1,PIMP
0.871,0.673,5,-5.363,0,0.352,0.287,0.0,0.219,0.683,152.085,35tyQCmxn6cj2r7eAb4JXP,162960,4,1,Carrépisode #3
0.946,0.848,9,-3.668,1,0.158,0.513,0.0,0.112,0.652,120.026,3Sd7FiZtfsVHKEvjshCsHC,184000,4,1,Koro
0.912,0.577,2,-6.657,1,0.401,0.106,0.0,0.0689,0.848,140.002,6yE734jgKBYFAzymZ6Elal,166853,4,1,Gamme
0.851,0.686,11,-8.143,1,0.222,0.597,1.08e-06,0.111,0.752,154.986,0De4Cl3YncrwWkqJiJfA7k,195344,4,1,PLM
0.742,0.423,1,-9.795,0,0.108,0.832,1.04e-05,0.0644,0.712,75.026,5mA2JwcgMq4FIIBKKKLsuW,194000,4,1,Lost
0.696,0.805,1,-7.082,1,0.253,0.203,7.6e-06,0.227,0.283,131.716,0E2IUIi4k7klypQqmEcrkt,149422,4,1,Double Face
0.699,0.61,9,-6.9,1,0.231,0.00153,1.75e-06,0.369,0.577,170.103,27x1z3kAL3Jx5TF4HyikPG,204000,4,1,07 56 89 24 89
0.853,0.616,6,-8.239,0,0.264,0.0104,0.0,0.0644,0.691,125.059,5UcJfhiAQOqC5MtpwsM20t,130560,4,1,Fuegolando (Kikesa Remix)
0.833,0.813,4,-5.708,0,0.29,0.244,0.0,0.128,0.705,154.062,4VdQCcXDuzb6Ks1yLT9FnO,217760,4,1,Ceci n'est pas du rap (feat. Niro)
0.85,0.853,8,-5.65,1,0.123,0.0155,0.0,0.105,0.734,142.03,4uq48sO2YTTJ0l74R9tOdo,136901,4,1,Mort de rire
0.901,0.653,1,-6.199,1,0.308,0.466,0.0,0.21,0.551,132.979,1UvYiDcJVolpUAQWpwrxNw,173987,4,1,Goulag
0.762,0.703,10,-7.951,0,0.306,0.206,0.0,0.0912,0.519,151.329,0HkoTr9t0f6MeqGoUS3E3e,247178,4,1,JOKER
0.726,0.715,5,-4.261,0,0.0662,0.00108,4.57e-05,0.182,0.767,140.061,6mkAhxAj1y5zvXWefkd9y7,183428,4,1,Toujours en retard
0.864,0.629,1,-6.602,0,0.279,0.0987,0.0,0.0737,0.22,140.025,3a1kMFVGEPa0dykTF9Sv9m,190972,4,1,Style libre
0.666,0.589,0,-8.405,0,0.324,0.555,0.0,0.114,0.776,74.974,4Y4diRGOGDxZcDh9qYwFVv,146053,4,1,230 (feat. PLK)
0.574,0.729,10,-5.838,0,0.0965,0.0406,4.05e-06,0.194,0.413,110.547,1rssdvnvf0DZ4s2jdB3DCT,190239,5,1,RVRE
0.87,0.565,6,-8.884,0,0.23,0.641,0.0,0.0688,0.619,79.993,5HIaPHHvXP9D7lcDdFlvf9,171000,4,1,Perle Rare
0.764,0.812,7,-4.946,1,0.179,0.202,0.0,0.126,0.742,139.961,216QmkNpU3hIjeZtGocb9B,194973,4,1,On sait jamais (feat. Niska)
0.901,0.939,6,-2.762,1,0.274,0.117,0.0,0.0643,0.805,142.948,205HNJ73cgpC0LAOnuQiWT,356347,4,1,Bande organisée
0.922,0.712,7,-6.024,1,0.171,0.0779,3.96e-05,0.175,0.904,104.964,0jU7JpfPrm7jjaLjFLXZLh,161800,4,1,T’as Compris L’Truc ?
0.809,0.574,5,-8.546,0,0.385,0.4,0.0,0.105,0.756,151.974,6Fn1k9ctMXsh5xrrMRaGQZ,185493,4,1,Matrice
0.826,0.556,5,-8.516,0,0.191,0.684,0.0,0.119,0.591,150.067,1NW4kNeeaRl5xxOnOLsYIJ,187006,4,1,Pareil
0.657,0.333,8,-13.553,1,0.526,0.0608,0.0,0.157,0.313,148.168,4W1RGS4ncIY1yrz38rysN3,98615,4,1,Pistolet Rose 2 - A COLORS SHOW
0.671,0.584,9,-9.959,0,0.54,0.65,0.0,0.128,0.366,119.303,1LWunyq4LMbOGjPD128dJy,209440,5,1,Seul
0.792,0.627,0,-7.464,1,0.275,0.305,0.0,0.078,0.645,155.03,4avTQmRrg717z7AuXqYY0V,150915,4,1,Bon déjà
0.878,0.622,2,-6.995,1,0.405,0.153,0.0,0.0917,0.638,84.991,3Abk2vuXSoz1z9lJKjJkCr,163765,4,1,SPEEDBOAT
0.789,0.84,9,-5.29,1,0.097,0.0309,0.0,0.0916,0.494,136.059,6pjtY9QtWHxTqPkTfGW0ru,84000,4,1,"Nouveaux Hippies, Pt. 3"
0.747,0.666,11,-7.845,1,0.197,0.13,0.0,0.36,0.531,77.507,5wXJNvoVOZBmB9b4EDP8xW,177213,4,1,Paye
0.74,0.403,6,-9.311,0,0.0635,0.509,0.0247,0.104,0.331,138.013,136fhifxcZQYs60Qgac9bm,173120,4,1,Loin
0.809,0.653,0,-7.178,0,0.306,0.335,0.0,0.11,0.639,139.981,0rs6jxe3647mGSc7l18Cq8,199093,4,1,Potentiel (feat. Orelsan)
0.791,0.5,1,-9.805,0,0.42,0.603,0.0,0.0993,0.492,130.027,0hkXsgdRk1TAOuOEpzznkI,170582,4,1,Rivage
0.722,0.736,3,-6.994,0,0.0585,0.431,1.18e-06,0.123,0.582,89.86,5T5mtNBCvVQ01WPr3MRzUY,208920,4,1,Sang-froid
0.808,0.648,4,-5.49,0,0.273,0.396,0.0,0.117,0.658,149.978,2fl01uGwbppFEci7qij1lU,180000,4,1,Y'a R
0.787,0.572,1,-7.516,1,0.222,0.145,0.0,0.0753,0.647,155.117,5fEJDiHWMECUifmNipjvqO,179413,4,1,BBJTM
0.757,0.451,2,-11.121,1,0.292,0.0485,1.56e-06,0.337,0.506,150.035,51SASYrlAU3DByPIsQFT9B,167062,4,1,S.A.M.Y
0.564,0.743,6,-5.782,1,0.22,0.584,0.0,0.101,0.191,168.849,03JjVo4OYciAi88SEdtDii,185667,4,1,S'en tirer
0.867,0.457,1,-7.908,1,0.237,0.0987,0.0,0.0967,0.193,101.052,73csFz02rFRAGhlV7wFajY,210733,4,1,GROSSE BLETA (feat. Kaaris)
0.6,0.535,4,-12.028,1,0.376,0.274,0.0,0.0984,0.205,180.036,3Wy1HGyh2hnHMF0xS2tJqH,176000,3,1,Freestyle Savies #3
0.83,0.612,10,-7.446,0,0.079,0.112,0.0,0.0892,0.252,97.989,3ZkkwW0R78PahonxsdNZ4U,243956,4,1,Gris
0.533,0.593,11,-5.284,1,0.0581,0.156,0.0262,0.0819,0.0888,128.646,1l4RFBJ96hKYXRBl9AWCVt,158547,5,1,Fais-le
0.65,0.545,4,-7.712,0,0.0514,0.271,7.34e-06,0.102,0.113,76.503,063QMlz0AK9iDJmVZEc2fP,240924,4,1,Ailleurs
0.795,0.492,0,-10.775,1,0.326,0.416,0.0,0.186,0.649,156.99,5hlashYN7IwHpQ4PLtQNf4,95533,4,1,Batman
0.849,0.813,11,-5.335,1,0.439,0.52,0.0,0.18,0.665,147.039,3wG9ykVbw7fhfLsoZGPT1E,145853,4,1,Bleu pâle
0.828,0.748,1,-8.348,0,0.507,0.639,0.0,0.34,0.58,129.433,1O4qKxSYi8Hs2nQEXrISZ4,203048,4,1,Windsor - A COLORS SHOW
0.853,0.668,3,-6.995,1,0.447,0.263,0.0,0.104,0.745,157.995,5JIeLpAbKtpFrCSWeOAiwo,165363,4,1,Siri 4
0.689,0.68,7,-6.551,0,0.0774,0.392,1.22e-06,0.107,0.567,75.445,7tN7t8ECFVrExNd3qaqT3u,168574,4,1,J'ai prié
0.7,0.719,5,-6.12,1,0.09,0.725,0.0,0.116,0.429,143.971,2EMTOyiYWGOIS3qg5jkcQT,149013,4,1,Larmes
0.716,0.946,1,-3.412,1,0.261,0.094,6.63e-05,0.0825,0.587,139.943,6KigD0mlF4VGDYiSEzAyYw,200571,4,1,Fight Back
0.875,0.474,1,-8.24,1,0.276,0.3,1.07e-06,0.113,0.558,138.027,66ks5ll4gswiaE7lfb2QMz,146480,4,1,Chloroquine
0.829,0.708,10,-5.05,1,0.102,0.329,0.0,0.093,0.723,139.961,7gi31ULI4vzNFUw8pokrfm,203813,4,1,Dans l'dos
0.75,0.758,6,-7.112,0,0.261,0.318,0.0,0.156,0.538,131.001,7Khbx8MgVTwIJe8YBi8tci,207907,4,1,No Stress
0.908,0.61,9,-5.735,1,0.271,0.213,3.36e-05,0.241,0.443,140.006,2o7n4nINXpjbo9VpsHZ8Ik,197613,4,1,Gang (feat. Kalash Criminel)
0.506,0.881,5,-5.491,0,0.108,0.000163,0.00143,0.23,0.556,148.084,4QMaRC93F0aFx3S648CLyh,187322,4,1,Animal In Me
0.581,0.85,5,-3.45,0,0.0734,0.185,0.00046,0.149,0.357,152.018,0PieJw6d3jyki3JTxgZhIr,178809,4,1,Watcher
0.568,0.788,2,-7.654,1,0.069,0.191,0.000176,0.0774,0.328,139.959,3F1vWVOvzgKx7r5ZRp19gu,219077,4,1,Stress of Success
0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,2UREu1Y8CO4jXkbvqAtP7g,178013,4,1,Monster
0.603,0.886,5,-3.777,0,0.0837,0.00045,0.0,0.26,0.395,126.025,0i8JFpqe9cKwnrcvoNgl1L,229933,4,1,Feel Invincible
0.483,0.941,2,-3.598,0,0.0575,0.000526,3.5e-06,0.31,0.503,156.033,5O9Dz0h08LuBi0aVvDcylh,232067,4,1,The Resistance
0.452,0.962,11,-3.063,0,0.0831,0.00901,0.0,0.065,0.566,164.032,4Ahphc0UzRSoMpJRHgnGQK,208827,4,1,I Want to Live
0.616,0.534,10,-10.264,0,0.483,0.639,0.0,0.0844,0.556,170.054,3dl4lXWlOxnGo94OqNtpdq,146480,4,1,Mauvais
0.802,0.549,5,-8.6,0,0.0631,0.268,0.00496,0.0984,0.498,138.984,3DWDcsDoXRIFynCREIkibM,184627,4,1,En première page
0.767,0.659,7,-4.541,1,0.0387,0.785,0.0,0.112,0.631,90.056,6fmtZEUoGwxPNvUgr0NJm1,186720,4,1,Bi Chwiya
0.752,0.468,0,-9.966,1,0.333,0.805,0.0,0.136,0.716,82.795,2edc1m7WXxdBA61WlxSInp,179253,4,1,Derniers réglages
0.797,0.654,8,-7.373,1,0.245,0.633,0.0,0.106,0.64,145.121,3qjDXaWCalJ9ZzaHBG4j3V,172520,4,1,Remise en forme
0.357,0.98,6,-6.835,1,0.079,5.22e-05,0.843,0.0768,0.368,96.969,4pFC6tuWErxbO61oFFq3BQ,242760,4,0,Hammer Smashed Face
0.446,0.977,10,-5.036,0,0.0781,0.000535,0.472,0.105,0.339,172.059,6V3SNkvi4BnfmZU0j7s9TQ,284400,4,0,Scourge of Iron
0.291,0.98,1,-5.138,1,0.153,0.00127,0.091,0.102,0.257,79.792,1Ds58cpyJzL0YTKk02vh1C,270920,4,0,Evisceration Plague
0.462,0.974,1,-5.82,1,0.0816,2.94e-05,0.723,0.0751,0.399,107.877,77QKNMGwlnzxsTZPYfByMu,186576,3,0,Necrogenic Resurrection
0.338,0.988,8,-7.29,0,0.0865,8.35e-05,0.833,0.0377,0.449,99.046,3bQoMbPYOvvseHaSOWAQ3Q,221960,4,0,I Cum Blood
0.256,0.952,7,-8.631,0,0.103,2.19e-05,0.587,0.135,0.0724,144.481,1sWcWDgthOikmqaHdfTfW2,206120,4,0,"Stripped, Raped, And Strangled"
0.373,0.98,1,-5.016,0,0.122,0.000319,0.906,0.105,0.34,97.346,10nOWGyxyXW42t9NH6BNSS,211947,4,0,Death Walking Terror
0.13,0.947,8,-5.888,1,0.095,2.45e-05,0.368,0.0453,0.334,60.631,5WGvXmLt6acluR7TfhlHUH,272995,4,0,Inhumane Harvest
0.225,0.98,6,-5.626,1,0.143,5.84e-06,0.86,0.0653,0.105,115.077,4YWg4PxJzMn84j7Fo32W4M,285907,4,0,Code of the Slashers
0.571,0.996,10,-4.907,0,0.215,4.93e-05,0.601,0.187,0.0468,94.992,6m5EVmAlKhJwbQCT3xN5Kt,211693,4,0,Priests Of Sodom
0.448,0.97,1,-4.197,1,0.105,0.000428,0.912,0.376,0.381,119.215,6GjNQbnAPCFCxp45txPVfh,123880,4,0,The Time To Kill Is Now
0.363,0.994,8,-5.781,1,0.131,3.69e-05,0.582,0.207,0.139,108.017,7tLevkJnFLOMtOOUmhznQa,247564,4,0,Murderous Rampage
0.251,0.981,10,-7.282,0,0.118,6.27e-05,0.729,0.219,0.275,99.338,6gP7mrmL9EsFS3sMpk3Ig3,375307,4,0,No Remorse
0.297,0.993,9,-7.173,1,0.118,5.66e-05,0.77,0.0766,0.178,127.693,1SEE3lvWDlSYVEySrrAfMs,182427,4,0,Split Wide Open
0.297,0.973,1,-4.505,1,0.151,0.00146,0.918,0.139,0.234,102.757,1zXTJp4mMwu2y69LajfzFK,170520,4,0,Make Them Suffer
0.184,0.974,8,-6.237,0,0.106,2.32e-05,0.886,0.241,0.33,93.771,107S1KOprUaRQqfI9nugxv,257390,3,0,Condemnation Contagion
0.358,0.977,8,-8.179,0,0.0727,8.18e-05,0.924,0.103,0.449,137.681,42es8ZJzFiOvjLR1yv0Sn7,194160,4,0,Gutted
0.266,0.986,8,-8.346,0,0.166,0.000386,0.747,0.43,0.302,86.179,5ycOd8aYjGCIrDfLNKqmKW,245773,4,0,Necropedophile
0.29,0.934,10,-4.679,0,0.0962,0.000325,0.853,0.453,0.18,112.834,3SP4UoCeEfG8OUevkxbPlX,225867,3,0,Five Nails Through The Neck
0.138,0.991,8,-5.661,1,0.175,1.53e-05,0.831,0.337,0.0718,94.443,0HPmWGyYJ0xP1DYUWk8Fwm,244239,1,0,Bound and Burned
0.25,0.982,1,-7.911,0,0.145,5.81e-05,0.000151,0.171,0.166,136.707,5HRWatW5cXb8Ufy3An0LeS,126333,4,0,A Skull Full of Maggots
0.247,0.992,8,-7.766,0,0.0772,2.85e-05,0.799,0.0808,0.318,142.891,27zu28YulIo7buGdzgN0bm,237093,4,0,The Cryptic Stench
0.196,0.983,8,-8.466,0,0.0818,3.05e-06,0.919,0.0959,0.316,179.661,4uy1mXLQUe6IW9BNUfZx15,183827,4,0,The Pick Axe Murders
0.454,0.968,6,-6.289,1,0.0787,1.73e-05,0.338,0.0472,0.535,103.965,3iZOVTPjyUEq9f5HsUQCj7,250262,4,0,"Surround, Kill, Devour"
0.245,0.915,1,-8.992,1,0.0718,9.86e-05,0.704,0.633,0.482,101.017,67gauLFb25vQYR7qMhNnTT,228733,3,0,Disfigured
0.794,0.659,7,-7.063,0,0.0498,0.143,0.00224,0.0944,0.308,112.019,6hzi3AGB39FjxFqcjgbWs7,247460,4,0,Deux frères
0.777,0.698,6,-7.706,0,0.0704,0.293,2.32e-05,0.0908,0.119,119.963,6VSaNvPPagk4U5Skxp6XfV,247161,4,0,Au DD
0.592,0.371,9,-9.965,0,0.0437,0.4,0.000367,0.0953,0.197,127.966,1gVnckXtTdCoLwtiPPqlQS,316546,4,0,A l'ammoniaque
0.729,0.533,9,-10.104,0,0.444,0.747,4.54e-06,0.0848,0.422,155.999,1w2OwBeojIZI8hTI5WkMkV,225953,4,0,MOWGLI II
0.798,0.564,2,-5.98,1,0.047,0.23,1.83e-05,0.183,0.394,108.004,295SxdR1DqunCNwd0U767w,254218,4,0,Blanka
0.826,0.76,11,-6.382,0,0.117,0.392,0.0,0.132,0.813,99.974,6YHnhfw8yMCx4vZvsgem3D,216285,4,0,Hasta la vista
0.784,0.7,7,-7.649,0,0.108,0.491,0.0,0.108,0.769,82.028,00X2yv2vrtritPt2CZnUTZ,190067,4,0,Bené
0.539,0.487,1,-9.653,1,0.202,0.309,0.0,0.097,0.375,169.985,0vfB1HhL36tfV8q6LLKtgo,186353,4,0,Tahia
0.688,0.569,10,-7.007,0,0.0375,0.392,0.000175,0.12,0.359,109.041,4GCIYE1x1TWJCChPkpy9by,252373,4,0,Onizuka
0.745,0.456,8,-9.482,1,0.0874,0.44,0.0,0.072,0.124,94.032,5n9NAd0Y5OUeOGU0nVtLua,314367,4,0,Chang
0.779,0.705,4,-7.834,0,0.0827,0.277,0.0,0.0804,0.228,103.048,4LAGHmHcSt0HHwXCJcFri6,233597,4,0,91's
0.609,0.517,6,-7.557,0,0.0451,0.231,3.62e-05,0.0777,0.0761,120.914,0lkQfsTMmtDA37tjjew9n0,285627,4,0,Naha
0.715,0.682,7,-7.714,1,0.1,0.325,4.2e-06,0.0928,0.136,103.037,5UOGzIMvxXyRZIWBbqDcpU,230013,4,0,DA
0.656,0.381,0,-8.757,0,0.0802,0.653,0.0,0.116,0.166,84.907,1gRMO4h3NGb1ZJA7TNdMPj,325556,4,0,Zoulou tchaing
0.648,0.465,6,-9.716,0,0.171,0.772,1.98e-06,0.287,0.407,103.025,7dn6WQzScfRGpp7XdTiCj0,256281,4,0,Le monde ou rien
0.734,0.425,0,-9.773,1,0.0635,0.131,1.71e-05,0.0726,0.235,114.969,2lFWyfuXtCN8Sb7cHJILva,268347,4,0,J'suis QLF
0.762,0.6,5,-7.585,0,0.0909,0.542,0.0,0.0841,0.39,115.908,2jBleFNl3YK8lyJc1OvxXt,352627,4,0,Jusqu'au dernier gramme
0.909,0.582,7,-5.357,1,0.0665,0.0696,4.78e-05,0.0984,0.844,126.063,5gqh2FMBquUEwDsRUU4pCF,249598,4,0,Shenmue
0.583,0.381,9,-10.033,0,0.0429,0.416,0.000226,0.0958,0.153,127.667,6aH3QgooXRmx8k8jzrSm3V,316378,4,0,A l'Ammoniaque
0.803,0.624,7,-6.764,0,0.0477,0.451,0.000734,0.1,0.628,95.968,1s3XtkdfT3obSCbQVWtvX9,304524,4,0,La misère est si belle
0.213,0.0656,7,-24.81,1,0.0467,0.992,0.969,0.0699,0.0384,65.023,3U8Fx7zNTQrctytkj6Gqgd,150147,3,0,Carnival of the Animals: The Swan
0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,5xbuJuQsTVheVZvX2AJVIv,151507,3,0,"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1"
0.368,0.00363,1,-36.759,1,0.035,0.993,0.922,0.137,0.085,69.363,1L4NadMj3Jj7YgGaikyhfr,254000,3,0,"6 Consolations, S. 172: No. 3 In D Flat Major (Lento, placido)"
0.191,0.0582,8,-25.398,1,0.0578,0.961,0.89,0.0941,0.0454,132.614,3weNRklVDqb4Rr5MhKBR3D,357707,1,0,Nuvole Bianche
0.261,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,2d6ml9Qkx8r4EjuUyrdpRV,286987,4,0,"Nocturne No.1 In B Flat Minor, Op.9 No.1"
0.334,0.00732,4,-30.908,0,0.0355,0.991,0.952,0.0968,0.0964,60.171,64LTn5fTsPR0QLy7bVYl9w,241987,4,0,"Nocturne No. 19 in E Minor, Op. 72, No. 1"
0.392,0.0536,4,-23.399,1,0.0571,0.995,0.867,0.0808,0.0417,71.286,6YDgMoJ8ssOuKjQ6jiz4Kk,234467,4,0,"12 Etudes, Op.10: No.3 In E"
0.499,0.351,9,-11.509,0,0.0448,0.951,9.94e-05,0.118,0.616,90.664,28XMNc5If5BmJWYDU42gkw,235947,4,0,"Violin Concerto No.1 In A Minor, BWV 1041: 1. (Allegro moderato)"
0.364,0.00799,8,-33.09,1,0.0395,0.978,0.894,0.109,0.0674,101.226,1eqyKmkcp7b2s1PU9fEZRS,216093,4,0,Full Moon (Arr. Lewin for Guitar)
0.205,0.129,7,-18.197,1,0.0595,0.968,0.946,0.101,0.296,136.871,7N2tmiKcG2bUgZkuRKXor4,169924,4,0,"Cello Suite No.1 In G Major, BWV 1007: 1. Prélude"
0.335,0.0287,10,-27.4,1,0.041,0.991,0.888,0.0874,0.0371,67.446,6mfmrVSe5Cm7cvsNwW6uJk,328000,4,0,"Ave Maria, S. 558 (after Schubert, D. 839)"
0.438,0.0825,9,-21.686,0,0.0695,0.983,0.0749,0.0461,0.37,106.275,1seJCRhM5PqQ5xGebh0iQ0,270000,5,0,"24 Caprices For Violin, Op.1, MS. 25: No. 24 In A Minor"
0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,1BncfTJAWxrsxyT9culBrj,315427,4,0,Experience
0.267,0.0024,1,-42.261,0,0.0531,0.995,0.897,0.0942,0.267,71.428,0kckvKwPBjQuVLgwGnICAv,397773,4,0,"Piano Sonata No.14 In C Sharp Minor, Op.27 No.2 -""Moonlight"": 1. Adagio sostenuto"
0.463,0.155,5,-17.164,1,0.044,0.877,0.261,0.105,0.222,122.437,0U69ZvJfshKs1OVIyW1E7B,301720,4,0,"12 Violin Concertos, Op.8 ""Il cimento dell'armonia e dell' invenzione"" / Concerto No. 3 in F Major for solo violin, ""L'Autunno"" - RV293: 1. Allegro"
0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,0H2VhGUC3P3hvwz8rdGIpC,203656,5,0,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59"
0.28,0.104,2,-19.802,1,0.0336,0.935,0.866,0.362,0.176,92.628,5qVqMPQdfFywNQIOP7Ncdz,310000,4,0,Canon and Gigue in D major - arr. Max Seiffert: 1. Canon
0.191,0.0317,9,-35.616,0,0.0407,0.984,0.888,0.0974,0.142,135.974,1mlLOJXeUrwviYpUHYeZE8,150733,3,0,"Le Carnaval des Animaux, R. 125: 7. Aquarium"
0.379,0.075,0,-20.328,1,0.0408,0.992,0.913,0.106,0.0353,68.232,0OrZXWjGgGUuoIoqnLvtJN,241187,3,0,Sometimes I Feel Like a Motherless Child
0.166,0.0551,9,-19.494,0,0.052,0.976,0.635,0.119,0.143,176.616,3QPPP2YozZ5xmMmpDB3c9n,206520,3,0,Hallelujah (Arr. Cello & Strings)
0.318,0.0633,6,-23.869,1,0.0507,0.992,0.871,0.0831,0.0384,129.466,1GBUqmdRjScFoG0cs8jEGZ,199133,3,0,"Lyric Pieces Book III, Op.43: 6. To Spring"
